indice,area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
10,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.25974,0,0.36,0.333333,0.833333,0,0.333333,0.833333,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.25,1,1,1,1,0,0.25,0,0,0,0,0,1,1
11,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0.103896,0,0.16,0,0.833333,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0.5,1,1,1,0,0,0,0,0,1,0.5,1,1,1,1,0,0.5,0.5,0,0,0,1,0,1
12,urbana,10150,1,0,0,1,0,1,0.833333,0.5,0.5,0.833333,0.333333,0,0,0,0.064935,0.057143,0.02,0,0.833333,0,0.833333,0.833333,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0.25,1,1,1,1,0.25,0,0,0,0.25,0,0,0,0
13,urbana,10150,0,0,0,0,0,0,0.833333,0.333333,0.333333,0.333333,0.333333,0.833333,0.066667,0.066667,0.064935,0,0.1,0.666667,0.833333,0.833333,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0.75,1,0,0,1,0,0.5,0,0,0,1,1,0.25,0.5
14,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.038961,0,0.06,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0.25,0,1,1,1,0,1,0,0.5,0,0.5,0.5,0.5,0.5
15,urbana,10150,1,0,0,1,0,1,0.833333,0.5,0.5,0.833333,0.5,0.833333,0.1,0.1,0.064935,0,0.1,0.5,0,1,0.833333,0.833333,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0.25,1,1,1,1,0.5,0.75,0.75,0.5,0.5,0,0.5,1,0
16,urbana,10150,1,0,1,0,1,1,0.833333,0.333333,0.833333,0.333333,0.833333,0.833333,0,0,0.038961,0,0.06,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0.5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.25,0,0,0.5,0,0.75,0,0,0
17,urbana,10150,0,0,0,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.066667,0.066667,0.116883,0.114286,0,0.666667,0.833333,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0.25,1,1,1,1,0,0,0,0,0.25,0,0,0.25,0
18,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.166667,0.166667,0.103896,0,0.16,0.333333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0.25,1,1,1,0,0,0,0,0,0,0,1,0,0
19,urbana,10150,0,0,0,0,0,0,0.833333,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.519481,0,0.4,0.333333,0.833333,0.666667,0,0.833333,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0.25,1,1,1,1,0,0.5,0,0.25,0.25,0.75,0,0,0
20,urbana,10150,0,0,0,0,1,1,0.833333,0.5,0.5,0.5,0,0,0.133333,0.133333,0.064935,0,0.1,0.5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0.25,1,1,1,1,0,0,0,0,0,0,0.75,0,0
21,urbana,10150,0,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.5,0.333333,0.133333,0.133333,0.38961,0,0.6,0.333333,0.333333,1,0.333333,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.25,1,1,1,1,0,0,0,0,0,1,0,0,1
22,urbana,10150,0,1,1,1,1,1,0.333333,0.833333,0.833333,0.833333,0.833333,0.833333,0.166667,0.1,0.649351,0,0,0.666667,0.333333,0.833333,0.833333,0.333333,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.25,1,1,1,0,0,1,1,1,0,0,0,0,0
23,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.116667,0.116667,0.155844,0,0,0.333333,0,1,0.833333,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0,0,0,0,0,0,0,0,0.25
24,urbana,10150,0,0,0,0,0,0,0.166667,0.333333,0.333333,0.833333,0.833333,0.833333,0.166667,0.166667,0.285714,0,0,0,0.833333,1,0.833333,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,urbana,10150,0,0,0,0,0,0,0.333333,0.5,0.333333,0.833333,0.833333,0.5,0.166667,0.166667,0.194805,0,0.3,0.666667,0.833333,1,0.833333,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0.75,0.25,0
26,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.083333,0.083333,0.194805,0,0.3,0.333333,0.833333,0.833333,0.833333,0.833333,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0.75,0,0,0,0,0,0.25,0.25
27,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.166667,0.166667,0.194805,0,0.18,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.75,0,0
28,urbana,10150,0,0,0,0,0,1,0.833333,0.5,0.5,0.833333,0.833333,0,0.1,0.1,0.168831,0,0.24,0.333333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0.25,0,0,0,0,0,0,0
29,urbana,10150,0,0,0,0,0,0,0.833333,0.333333,0.333333,0.333333,0.333333,0.333333,0.133333,0.133333,0.181818,0,0,0.666667,0.833333,1,0.833333,0.833333,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
30,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.166667,0.1,0.324675,0.214286,0.1,0.666667,0.333333,0.833333,0.833333,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0.25,1,1,1,0,0,1,0,0,0,1,0,0,1
31,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.05,0.05,0.051948,0,0.08,0,0.833333,0.833333,0.833333,0.833333,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0.75,1,1,1,1,0,0,0,0,0,1,1,0,0
32,urbana,10150,1,1,0,1,1,1,0.833333,0.833333,0.5,0.833333,0,0,0.033333,0.033333,0.155844,0,0.24,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0.25,1,1,1,1,0,0,0.5,0.25,0.25,0,0,0,0
33,urbana,10150,0,0,0,0,0,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.083333,0.083333,0.12987,0,0.2,0.666667,0.833333,0.833333,0.833333,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0.75,1,1,1,1,0,0,0,0,0,1,0,0,1
34,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0,0,0.066667,0.066667,0.077922,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5
35,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0.016667,0.016667,0.116883,0,0.18,0,0.833333,1,0.833333,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0
36,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.103896,0,0.16,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0,0.25,0.5,0.25
37,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.103896,0,0.16,0.333333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0.25,0.75,0.75
38,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.05,0.05,0.090909,0,0.14,0.333333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
39,urbana,10150,0,0,0,0,1,1,0.833333,0.333333,0.333333,0.333333,0,0,0.066667,0.066667,0.077922,0,0.12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0.5,1,1,1,1,0,0.5,0,0,0,0,0,0,0.5
40,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.103896,0,0.16,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0.5,0,1,1,0,1,1,1,0,0,0.5,1,1,1,1,0,0.5,0.5,0.5,0.5,0,0,0,1
41,urbana,10150,0,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.033333,0.033333,0.103896,0,0.16,0,0,1,0.833333,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0.25
42,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.133333,0.133333,0.194805,0,0.3,0,0.833333,0.833333,0.833333,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0.25,1,1,0,0,0,0.5,0,0,0,0.5,0.5,0,0
43,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0.1,0.207792,0.057143,0.24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.5,1,1,1,1,0,0,0,0,0,0,0.5,0,0
44,urbana,10150,0,0,0,1,1,1,0.833333,0.333333,0.333333,0,0,0,0.1,0.1,0.194805,0,0.3,0.666667,0.833333,0.833333,0.666667,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0,0.5,0.5,0.5
45,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.103896,0,0.16,0,0.833333,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0.5,1,1,1,0,1,0,1,1,0,0.25,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5
46,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.155844,0,0.2,0.333333,0.833333,1,0.833333,0.833333,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0.25,0,0,0,0,0,1,0
47,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.051948,0,0.08,0,0.833333,0.833333,0,0.833333,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0,0,0,1,0,1
48,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0.1,0.077922,0,0.12,0.833333,0.833333,0.166667,0,0.833333,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0.5,0,0,1,0.5,1
49,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.025974,0.028571,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.25,0.25,0,0.5,0.75,0.25,0.75
50,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.038961,0,0.06,0,0.833333,0.833333,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0.25,1,1,1,1,0,0,0,0,0,0,1,0,0.75
51,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.116667,0.116667,0.090909,0.014286,0.12,0.833333,0,0.833333,0.833333,0.833333,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0.25,0.25,0.25,0,0.75,0.25,0.5
52,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0,0.12987,0,0.08,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0.5,1,1,1,1,0.25,0.25,0,0.25,0,0.75,0.75,0.25,0.25
53,urbana,10150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0,0.033333,0.033333,0.090909,0,0.14,0,0.833333,0.833333,0.833333,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.5,0.25,0,0,0,1,0,0
54,urbana,10150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0.833333,0.833333,0.05,0.05,0.103896,0,0.16,0.833333,0.833333,0.166667,0.833333,0.833333,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.5,1,0,0
55,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.166667,0.166667,0.155844,0,0.24,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1,0,0
56,urbana,10150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.064935,0,0.1,0,0.833333,0.833333,0,0.833333,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0.25,1,1,1,1,0,0,0,0,0,0,0.75,0,0.25
57,urbana,10150,1,1,0,1,1,1,0.833333,0.833333,0.333333,0.833333,0.833333,0.833333,0.033333,0.033333,0.012987,0,0.02,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.75,0.25,0.25
58,urbana,10150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.038961,0,0.06,0.833333,0.833333,0.833333,0,0.833333,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0.25,1,1,1,1,0,0,0,0,0,0,0.75,0.25,0.25
59,urbana,10150,0,1,1,1,1,1,0.166667,0.833333,0.833333,0.833333,0,0,0.033333,0.033333,0.077922,0,0.12,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0.75,1,1,1,1,0,0.75,0,0,0,0,0.75,0.5,0.25
60,urbana,10150,0,0,0,0,1,1,0.833333,0.5,0.5,0.5,0,0,0.166667,0.15,0.25974,0,0.1,0,0.833333,0,0.833333,0.833333,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0
61,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0.1,0.194805,0,0.3,0,0,0,0.833333,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0.5,1,1,1,1,0,0.5,0,0,0,0,0,0,1
62,urbana,10150,0,1,0,1,1,1,0.833333,0.833333,0.5,0.833333,0.833333,0,0.066667,0,0.12987,0,0.2,0,0.833333,0.833333,0.833333,0.833333,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
63,urbana,10150,1,0,0,0,0,0,0.833333,0.5,0.5,0.5,0.5,0.5,0.033333,0.033333,0.103896,0.085714,0.04,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0.25,1,1,1,1,0,0,0,0,0,0,1,0,0
64,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0,0.016667,0.016667,0.051948,0.028571,0.04,0,0.833333,0.833333,0.833333,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0.5
65,urbana,10150,0,0,0,0,0,0,0.333333,0.5,0.5,0.833333,0.833333,0.833333,0.033333,0.033333,0.064935,0.042857,0.04,0,0.833333,1,0.833333,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.25,0,1,1,1,0,0.25,0,0,0,0,0,0,0
66,urbana,10150,0,0,0,0,1,1,0.833333,0.5,0.5,0.333333,0,0,0.066667,0.066667,0.064935,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0.25,1,1,1,1,0,1,0,0.5,0.5,0,0,0,0.25
67,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.5,0.833333,0.833333,0.833333,0.05,0.05,0.064935,0,0.1,0,0.833333,0.5,0.833333,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0.25,0,1,0,0,0,1,0,0,0,0,0,0,1
68,urbana,10150,0,0,0,1,1,1,0.833333,0.5,0.5,0.833333,0,0,0.033333,0.033333,0.064935,0,0.1,0,0.833333,0.833333,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.75,0,0,1,1,0,0,0,0,0,0,1,0,0.25
69,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.166667,0.166667,0.064935,0,0.1,0,0.833333,0.833333,0,0.833333,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.5,1,1,1,1,0,1,0,0,0,0,0,0,0
70,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0.1,0.064935,0.028571,0.06,0,0,0.833333,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0,0.25,0,0,0.75,1,0.5,0.75
71,urbana,10150,1,1,0,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.1,0.1,0.103896,0.071429,0.04,0.833333,0,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0.5,0,0,0,0,1,1,0
72,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.05,0.05,0.25974,0,0,0.666667,0.833333,1,0.833333,0.833333,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0.75,1,1,1,1,0,0.75,0,0,0,0,0,0,0.75
73,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.038961,0,0.06,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0,0,0,0.75,0.25,0.25
74,urbana,10150,1,1,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.033333,0.033333,0.038961,0,0.06,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0,0,1,1
75,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.05,0.05,0.038961,0,0.06,0.333333,0.833333,0.833333,0.833333,0.833333,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.5,0.5
76,urbana,10150,0,0,0,1,0,0,0.833333,0.833333,0.833333,0,0.833333,0.833333,0.033333,0.016667,0.25974,0.028571,0.28,0.666667,0.833333,1,0.833333,0.833333,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0.25,1,1,1,1,0,0.25,0,0,0,0.75,1,0.25,0.25
77,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.25,0.25,0.38961,0,0.6,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0,0.25,1,1
78,urbana,10150,0,0,0,0,0,0,0.166667,0.5,0.5,0.833333,0.5,0.833333,0.066667,0.066667,0.285714,0,0.44,0.333333,0.833333,0.166667,0.833333,0.833333,0.833333,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0,1,0.75
